,avg_temp_c,city,country,date
0,27.29300000000001,Abidjan,Côte D'Ivoire,2000-01-01
1,27.685,Abidjan,Côte D'Ivoire,2000-02-01
2,29.061,Abidjan,Côte D'Ivoire,2000-03-01
3,28.162,Abidjan,Côte D'Ivoire,2000-04-01
4,27.547,Abidjan,Côte D'Ivoire,2000-05-01
5,25.812,Abidjan,Côte D'Ivoire,2000-06-01
6,24.87,Abidjan,Côte D'Ivoire,2000-07-01
7,24.884,Abidjan,Côte D'Ivoire,2000-08-01
8,25.405,Abidjan,Côte D'Ivoire,2000-09-01
9,26.074,Abidjan,Côte D'Ivoire,2000-10-01
10,27.315,Abidjan,Côte D'Ivoire,2000-11-01
11,26.929,Abidjan,Côte D'Ivoire,2000-12-01
12,26.92,Abidjan,Côte D'Ivoire,2001-01-01
